"Source:","/home/eric/Documents/ETS/HIV2022/ELE795/projet_tournesol/Docs/maincircuit/schematic/kicad/maincircuit/maincircuit.kicad_sch"
"Date:","Thu 07 Apr 2022 04:03:20 PM"
"Tool:","Eeschema (6.0.2)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","17"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"","","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","","","",""
"","","J1","Conn_01x04","Connector_Generic:Conn_01x04","","~","","","","",""
"","","R1","2.2k","Device:R","","~","","","","",""
"","","R2","68","Device:R","","~","","","","",""
"","","R3","2.2k","Device:R","","~","","","","",""
"","","R4","1k","Device:R","","~","","","","",""
"","","R5","1k","Device:R","","~","","","","",""
"","","R6","39k","Device:R","","~","","","","",""
"","","R7","39k","Device:R","","~","","","","",""
"","","TH1","PT100","Sensor_Temperature:PT100","","https://www.heraeus.com/media/media/group/doc_group/products_1/hst/sot_to/de_15/to_92_d.pdf","","","","",""
"","","U1","DS3231M","Timer_RTC:DS3231M","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","","","","",""
"","","U2","AS7262","Sensor_Optical:AS7262","Package_LGA:AMS_LGA-20_4.7x4.5mm_P0.65mm","http://ams.com/eng/content/download/976551/2309439/498718","","","","",""
"","","U3","HDC1080","Sensor_Humidity:HDC1080","Package_SON:Texas_PWSON-N6","http://www.ti.com/lit/ds/symlink/hdc1080.pdf","","","","",""
"","","U4","MicroSD_Card_Adapter","custom_library_eric:MicroSD_Card_Adapter","","","","","","",""
"","","U5","MCP6042",":OPAMP_2","","","MCP604x/MCP6041.txt","MCP6041","Y","1 2 4 5 3","X"
"","","U6","MCP6042",":OPAMP_1","","","MCP604x/MCP6041.txt","MCP6041","Y","1 2 4 5 3","X"
"","","V1","9v","Simulation_SPICE:VDC","","~","","dc(1)","Y","","V"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Spice_Lib_File","Spice_Model","Spice_Netlist_Enabled","Spice_Node_Sequence","Spice_Primitive"
"1","1","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","","","","",""
"2","1","J1","Conn_01x04","Connector_Generic:Conn_01x04","","~","","","","",""
"3","2","R1, R3","2.2k","Device:R","","~","","","","",""
"4","1","R2","68","Device:R","","~","","","","",""
"5","2","R4, R5","1k","Device:R","","~","","","","",""
"6","2","R6, R7","39k","Device:R","","~","","","","",""
"7","1","TH1","PT100","Sensor_Temperature:PT100","","https://www.heraeus.com/media/media/group/doc_group/products_1/hst/sot_to/de_15/to_92_d.pdf","","","","",""
"8","1","U1","DS3231M","Timer_RTC:DS3231M","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","","","","",""
"9","1","U2","AS7262","Sensor_Optical:AS7262","Package_LGA:AMS_LGA-20_4.7x4.5mm_P0.65mm","http://ams.com/eng/content/download/976551/2309439/498718","","","","",""
"10","1","U3","HDC1080","Sensor_Humidity:HDC1080","Package_SON:Texas_PWSON-N6","http://www.ti.com/lit/ds/symlink/hdc1080.pdf","","","","",""
"11","1","U4","MicroSD_Card_Adapter","custom_library_eric:MicroSD_Card_Adapter","","","","","","",""
